contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiry,spot,rfr,optionType,moneyness,ttm_years,mid
SPXW260609C07285000,2026-06-09 19:10:06+00:00,7285.0,92.0,85.2,86.5,-31.199997,-25.324675,8867.0,6.0,0.2772441661071776,True,REGULAR,USD,2026-06-09,7355.39013671875,0.0363499975204467,call,0.9904301287341162,0.0,85.85
SPXW260609C07290000,2026-06-09 19:13:13+00:00,7290.0,82.82,80.2,81.7,-34.629997,-29.484886,12262.0,9.0,0.2683331224060058,True,REGULAR,USD,2026-06-09,7355.39013671875,0.0363499975204467,call,0.9911099023296784,0.0,80.95
SPXW260609C07300000,2026-06-09 19:13:42+00:00,7300.0,72.2,64.7,66.7,-37.0,-33.882786,38981.0,723.0,0.2067797828674316,True,REGULAR,USD,2026-06-09,7355.39013671875,0.0363499975204467,call,0.9924694495208028,0.0,65.7
SPXW260609C07305000,2026-06-09 19:14:53+00:00,7305.0,61.7,60.8,61.5,-46.02,-42.72187,15826.0,46.0,0.1948627877807617,True,REGULAR,USD,2026-06-09,7355.39013671875,0.0363499975204467,call,0.993149223116365,0.0,61.15
SPXW260609C07310000,2026-06-09 19:13:13+00:00,7310.0,63.4,59.2,60.0,-36.6,-36.6,19682.0,9.0,0.2117693569946289,True,REGULAR,USD,2026-06-09,7355.39013671875,0.0363499975204467,call,0.9938289967119271,0.0,59.6
SPXW260609C07320000,2026-06-09 19:14:31+00:00,7320.0,46.83,46.2,46.9,-49.35,-51.310043,28966.0,38.0,0.1659781889343262,True,REGULAR,USD,2026-06-09,7355.39013671875,0.0363499975204467,call,0.9951885439030516,0.0,46.55
SPXW260609C07325000,2026-06-09 19:14:31+00:00,7325.0,42.13,41.5,42.1,-44.12,-51.15362,31872.0,380.0,0.1562431788635254,True,REGULAR,USD,2026-06-09,7355.39013671875,0.0363499975204467,call,0.9958683174986136,0.0,41.8
SPXW260609C07330000,2026-06-09 19:14:38+00:00,7330.0,37.4,37.6,38.2,-45.39,-54.825462,33652.0,61.0,0.1525505888366699,True,REGULAR,USD,2026-06-09,7355.39013671875,0.0363499975204467,call,0.996548091094176,0.0,37.900000000000006
SPXW260609C07335000,2026-06-09 19:14:37+00:00,7335.0,32.51,32.8,33.4,-48.820004,-60.027054,30013.0,18.0,0.1417779914855957,True,REGULAR,USD,2026-06-09,7355.39013671875,0.0363499975204467,call,0.997227864689738,0.0,33.099999999999994
SPXW260609C07340000,2026-06-09 19:14:53+00:00,7340.0,28.9,28.4,28.8,-47.32,-62.083443,42471.0,129.0,0.1317988432312011,True,REGULAR,USD,2026-06-09,7355.39013671875,0.0363499975204467,call,0.9979076382853004,0.0,28.6
SPXW260609C07345000,2026-06-09 19:14:50+00:00,7345.0,24.7,24.6,24.8,-43.81,-64.51185,33378.0,11.0,0.125085043182373,True,REGULAR,USD,2026-06-09,7355.39013671875,0.0363499975204467,call,0.9985874118808624,0.0,24.700000000000003
SPXW260609C07350000,2026-06-09 19:15:00+00:00,7350.0,21.15,21.0,21.3,-43.949997,-67.51151,75198.0,1150.0,0.1206142626953125,True,REGULAR,USD,2026-06-09,7355.39013671875,0.0363499975204467,call,0.9992671854764248,0.0,21.15
